station_name,start_count,start_member_count,start_casual_count,end_count,end_member_count,end_casual_count,avg_lat,avg_lng,type,public transportation
16th & Irving St NW,43387,30593,12794,34940,25244,9696,38.92888111912925,-77.03624424234782,Living,Bus
16th & K St NW/BLM Plaza,3669,1870,1799,4309,2280,2029,38.902694805954894,-77.03589998388158,Entertainment,Bus
16th & Q St SE / Anacostia HS,2171,981,1190,2158,964,1194,38.87069362704344,-76.98236090321792,Entertainment,
16th & R St NW,49446,35693,13753,48680,35960,12720,38.91265270464045,-77.03627605349898,Living,Metro
16th St & North Carolina Ave NE,1949,1427,522,1936,1331,605,38.89306727662691,-76.9824860939858,Living,
17th & Corcoran St NW,93189,71097,22092,93748,71919,21829,38.91209837994323,-77.03868806212817,Living,Bus
17th & G St NW,52736,25400,27336,55000,27823,27177,38.89830112294409,-77.03969404501916,Work,
17th & K St NW,59770,40967,18803,65235,45138,20097,38.902758980769875,-77.03861992983869,Work,
17th & K St NW / Farragut Square,47851,30389,17462,52615,33142,19473,38.902071381798685,-77.03833499048794,Work,
17th & P St NW,61975,45355,16620,60197,44452,15745,38.9098588889957,-77.03855224638936,Work,Metro
17th & Upshur St NW,8276,4497,3779,6674,3781,2893,38.94215406142334,-77.03866390761962,Entertainment,
17th St & Independence Ave SW,70875,14465,56410,69341,15642,53699,38.88809839211396,-77.03832596204113,Work,Metro
17th St & Massachusetts Ave NW,59102,43737,15365,58283,44236,14047,38.90814638849876,-77.03836685901454,Entertainment,
17th St & New York Ave NW,9363,4261,5102,9455,4032,5423,38.89660993918417,-77.03977773537196,Work,Metro
17th St & Potomac Ave SE / Congressional Cemetery ,638,407,231,642,415,227,38.88244820389865,-76.98068877393966,Entertainment,Metro
17th St & Rhode Island Ave NW,20465,14092,6373,20470,14170,6300,38.906765178093025,-77.03861748563375,Living,
18th & C St NW,17574,6345,11229,18761,7371,11390,38.89351593294863,-77.04154892790213,Entertainment,Metro
18th & L St NW,40222,26040,14182,44156,29387,14769,38.903735824875355,-77.04244682449368,Entertainment,Bus
18th & M St NW,50879,33650,17229,57702,39481,18221,38.90506440560186,-77.04176597823421,Work,
18th & Monroe St NE,3634,2163,1471,4401,2601,1800,38.93291616349261,-76.97952621451259,Work,Metro
18th & New Hampshire Ave NW,76626,54628,21998,75430,53577,21853,38.91126940815404,-77.04182845628108,Living,Bus
18th & R St NW,64279,45841,18438,64865,46836,18029,38.912647690147,-77.04183593484773,Entertainment,Bus
18th & Upshur St NE,376,109,267,380,96,284,38.94168848121631,-76.98041665770346,Work,
18th St & Ingleside Ter NW,3125,2177,948,2683,1860,823,38.934760617317586,-77.04134886161117,Living,
18th St & Ingleside Terr NW,2,2,0,4,4,0,38.934784,-77.041362,Work,Bus
18th St & Pennsylvania Ave NW,35683,22452,13231,37897,24441,13456,38.899675833186656,-77.04154434004192,Work,Metro
18th St & Rhode Island Ave NE,4391,2539,1852,4091,2357,1734,38.9270801583431,-76.97894459771317,Work,
18th St & S Eads St,2272,978,1294,2257,1054,1203,38.857251274926135,-77.05336090588696,Entertainment,Metro
18th St & Wyoming Ave NW,83884,54004,29880,74959,49230,25729,38.91880554532274,-77.04156802987038,Entertainment,Metro
19th & E Street NW,6725,3453,3272,7385,4075,3310,38.89527443812774,-77.0435726895298,Entertainment,Metro
19th & East Capitol St SE,16778,11652,5126,16822,11625,5197,38.88960306881333,-76.9769011460726,Living,Metro
19th & G St NW,26760,20293,6467,27618,21502,6116,38.89840595840748,-77.0431895680662,Entertainment,Metro
19th & I St NW,13556,9795,3761,14476,10610,3866,38.9016272714716,-77.0433966379944,Work,Metro
19th & K St NW,13307,8473,4834,15691,10727,4964,38.90219845085921,-77.04338153971312,Living,Metro
19th & Savannah St SE,364,93,271,343,111,232,38.84623292345196,-76.9770271117103,Living,
19th St & Constitution Ave NW,29893,6192,23701,30705,7971,22734,38.892264160672866,-77.0433536584772,Living,Bus
19th St & Pennsylvania Ave NW,21463,14957,6506,21958,15224,6734,38.900291712786625,-77.04290268115159,Living,
19th St N & Ft Myer Dr,9401,6382,3019,10797,6872,3925,38.89720960229819,-77.0721152088346,Living,
1st & D St SE,41712,24439,17273,42293,26109,16184,38.88491888143787,-77.00597071105781,Entertainment,Metro
1st & H St NW,38050,26807,11243,39029,27376,11653,38.900362252687586,-77.01212319542546,Work,
1st & I St SE,56676,34490,22186,58345,35048,23297,38.8788567108312,-77.00574877668191,Entertainment,Bus
1st & K NE,14,9,5,15,11,4,38.902386,-77.005649,Work,Bus
1st & K St NE,65617,44746,20871,66649,45387,21262,38.90239353252261,-77.00565564063184,Living,Metro
1st & K St SE,33263,19999,13264,34890,20758,14132,38.87885501116103,-77.00575789802836,Living,Bus
1st & L St NW,12418,8813,3605,12515,8938,3577,38.90383195457321,-77.01196935408012,Living,Bus
1st & M St NE,130461,84976,45485,132542,87148,45394,38.90568876801754,-77.00549561633329,Entertainment,
1st & M St SE,48125,29484,18641,54999,33072,21927,38.876926696301574,-77.00604219010341,Entertainment,Metro
1st & N St  SE,9979,5121,4858,12056,6022,6034,38.87429429481951,-77.00570321016471,Entertainment,
1st & N St SE,33193,18156,15037,37270,20050,17220,38.87473950679903,-77.00575593879502,Work,Bus
1st & O St NW,39712,28938,10774,37974,27687,10287,38.90864438137336,-77.01236744367382,Work,Bus
1st & Q St SW,7967,5111,2856,8444,5360,3084,38.8708222167274,-77.01193239894978,Living,
1st & Rhode Island Ave NW,62967,42322,20645,62255,41620,20635,38.91541177232453,-77.01228461893449,Entertainment,Bus
1st & S Capitol St SE / Oxon Run Trail,2665,1284,1381,2912,1341,1571,38.82447832987725,-77.0054904344367,Living,Bus
1st & Washington Hospital Center NW,20628,13436,7192,15990,11249,4741,38.928747893670504,-77.01243794348315,Living,Metro
1st St & Potomac Ave SE,29057,16007,13050,29650,16117,13533,38.87184430048144,-77.00591555151001,Living,Metro
20th & Columbia Rd NW,41047,28117,12930,32647,23073,9574,38.91805405002897,-77.04547064091565,Entertainment,
20th & E St NW,30975,20022,10953,32397,21043,11354,38.89629890653684,-77.04499858206913,Entertainment,Bus
20th & L St NW,40853,28739,12114,46087,32595,13492,38.90357296531758,-77.04480973459836,Living,Bus
20th & O St NW / Dupont South,65319,45435,19884,67649,46483,21166,38.908899344379584,-77.04479410096008,Entertainment,Bus
20th St & Florida Ave NW,56224,38123,18101,55770,38539,17231,38.91540303159759,-77.04459761477091,Entertainment,
