index,datetime,rental quantity
2020-12-19,2020-12-19,3625
2020-12-20,2020-12-20,3328
2020-12-21,2020-12-21,3409
2020-12-22,2020-12-22,3288
2020-12-23,2020-12-23,3361
2020-12-24,2020-12-24,1248
2020-12-25,2020-12-25,1125
2020-12-26,2020-12-26,1844
2020-12-27,2020-12-27,2596
2020-12-28,2020-12-28,3559
2020-12-29,2020-12-29,3052
2020-12-30,2020-12-30,3228
2020-12-31,2020-12-31,3299
2021-01-01,2021-01-01,961
2021-01-02,2021-01-02,5718
2021-01-03,2021-01-03,1628
2021-01-04,2021-01-04,2981
2021-01-05,2021-01-05,3061
2021-01-06,2021-01-06,3112
2021-01-07,2021-01-07,3310
2021-01-08,2021-01-08,2987
2021-01-09,2021-01-09,4072
2021-01-10,2021-01-10,4001
2021-01-11,2021-01-11,2871
2021-01-12,2021-01-12,3644
2021-01-13,2021-01-13,3883
2021-01-14,2021-01-14,3797
2021-01-15,2021-01-15,3334
2021-01-16,2021-01-16,4691
2021-01-17,2021-01-17,3745
2021-01-18,2021-01-18,3441
2021-01-19,2021-01-19,3370
2021-01-20,2021-01-20,2622
2021-01-21,2021-01-21,3529
2021-01-22,2021-01-22,4036
2021-01-23,2021-01-23,3482
2021-01-24,2021-01-24,3309
2021-01-25,2021-01-25,2390
2021-01-26,2021-01-26,1997
2021-01-27,2021-01-27,3528
2021-01-28,2021-01-28,2667
2021-01-29,2021-01-29,2870
2021-01-30,2021-01-30,3998
2021-01-31,2021-01-31,1035
2021-02-01,2021-02-01,973
2021-02-02,2021-02-02,1451
2021-02-03,2021-02-03,2476
2021-02-04,2021-02-04,3174
2021-02-05,2021-02-05,4249
2021-02-06,2021-02-06,5412
2021-02-07,2021-02-07,2289
2021-02-08,2021-02-08,2892
2021-02-09,2021-02-09,3562
2021-02-10,2021-02-10,2362
2021-02-11,2021-02-11,2241
2021-02-12,2021-02-12,3029
2021-02-13,2021-02-13,885
2021-02-14,2021-02-14,2364
2021-02-15,2021-02-15,2720
2021-02-16,2021-02-16,2849
2021-02-17,2021-02-17,1949
2021-02-18,2021-02-18,744
2021-02-19,2021-02-19,2045
2021-02-20,2021-02-20,2645
2021-02-21,2021-02-21,2972
2021-02-22,2021-02-22,1548
2021-02-23,2021-02-23,3320
2021-02-24,2021-02-24,5182
2021-02-25,2021-02-25,4181
2021-02-26,2021-02-26,3773
2021-02-27,2021-02-27,5079
2021-02-28,2021-02-28,1139
2021-03-01,2021-03-01,2503
2021-03-02,2021-03-02,3473
2021-03-03,2021-03-03,4871
2021-03-04,2021-03-04,3816
2021-03-05,2021-03-05,3634
2021-03-06,2021-03-06,5192
2021-03-07,2021-03-07,4291
2021-03-08,2021-03-08,3763
2021-03-09,2021-03-09,5464
2021-03-10,2021-03-10,6264
2021-03-11,2021-03-11,7079
2021-03-12,2021-03-12,6415
2021-03-13,2021-03-13,8255
2021-03-14,2021-03-14,6932
2021-03-15,2021-03-15,3643
2021-03-16,2021-03-16,3459
2021-03-17,2021-03-17,4629
2021-03-18,2021-03-18,2003
2021-03-19,2021-03-19,4791
2021-03-20,2021-03-20,8254
2021-03-21,2021-03-21,8089
2021-03-22,2021-03-22,5448
2021-03-23,2021-03-23,5835
2021-03-24,2021-03-24,1987
2021-03-25,2021-03-25,5364
2021-03-26,2021-03-26,8567
2021-03-27,2021-03-27,13338
2021-03-28,2021-03-28,4099
2021-03-29,2021-03-29,6779
2021-03-30,2021-03-30,9551
2021-03-31,2021-03-31,3377
2021-04-01,2021-04-01,4494
2021-04-02,2021-04-02,5443
2021-04-03,2021-04-03,10949
2021-04-04,2021-04-04,11491
2021-04-05,2021-04-05,7668
2021-04-06,2021-04-06,7937
2021-04-07,2021-04-07,7897
2021-04-08,2021-04-08,7791
2021-04-09,2021-04-09,5831
2021-04-10,2021-04-10,11429
2021-04-11,2021-04-11,9656
2021-04-12,2021-04-12,5080
2021-04-13,2021-04-13,6426
2021-04-14,2021-04-14,3115
2021-04-15,2021-04-15,7011
2021-04-16,2021-04-16,6374
2021-04-17,2021-04-17,9426
2021-04-18,2021-04-18,8936
2021-04-19,2021-04-19,5532
2021-04-20,2021-04-20,7972
2021-04-21,2021-04-21,5072
2021-04-22,2021-04-22,4660
2021-04-23,2021-04-23,7412
2021-04-24,2021-04-24,7759
2021-04-25,2021-04-25,7045
2021-04-26,2021-04-26,6228
2021-04-27,2021-04-27,7863
2021-04-28,2021-04-28,7266
2021-04-29,2021-04-29,6648
2021-04-30,2021-04-30,6352
2021-05-01,2021-05-01,10539
2021-05-02,2021-05-02,9723
2021-05-03,2021-05-03,5504
2021-05-04,2021-05-04,5899
2021-05-05,2021-05-05,6509
2021-05-06,2021-05-06,7944
2021-05-07,2021-05-07,5629
2021-05-08,2021-05-08,8499
2021-05-09,2021-05-09,7266
2021-05-10,2021-05-10,7009
2021-05-11,2021-05-11,7650
2021-05-12,2021-05-12,7795
2021-05-13,2021-05-13,8594
2021-05-14,2021-05-14,9214
2021-05-15,2021-05-15,12976
2021-05-16,2021-05-16,8770
2021-05-17,2021-05-17,8054
2021-05-18,2021-05-18,8809
2021-05-19,2021-05-19,9004
2021-05-20,2021-05-20,8748
2021-05-21,2021-05-21,10379
2021-05-22,2021-05-22,12413
2021-05-23,2021-05-23,10071
2021-05-24,2021-05-24,4001
2021-05-25,2021-05-25,8690
2021-05-26,2021-05-26,7003
2021-05-27,2021-05-27,8815
2021-05-28,2021-05-28,6799
2021-05-29,2021-05-29,3577
2021-05-30,2021-05-30,7055
2021-05-31,2021-05-31,11239
2021-06-01,2021-06-01,7961
2021-06-02,2021-06-02,8441
2021-06-03,2021-06-03,7084
2021-06-04,2021-06-04,9454
2021-06-05,2021-06-05,11745
2021-06-06,2021-06-06,9062
2021-06-07,2021-06-07,7539
2021-06-08,2021-06-08,7968
2021-06-09,2021-06-09,8294
2021-06-10,2021-06-10,5451
2021-06-11,2021-06-11,4281
2021-06-12,2021-06-12,13059
2021-06-13,2021-06-13,10271
2021-06-14,2021-06-14,8334
2021-06-15,2021-06-15,9513
2021-06-16,2021-06-16,9930
2021-06-17,2021-06-17,10301
2021-06-18,2021-06-18,11778
2021-06-19,2021-06-19,12165
2021-06-20,2021-06-20,10199
2021-06-21,2021-06-21,7436
2021-06-22,2021-06-22,6586
2021-06-23,2021-06-23,10772
2021-06-24,2021-06-24,10646
2021-06-25,2021-06-25,10577
2021-06-26,2021-06-26,11917
2021-06-27,2021-06-27,9821
2021-06-28,2021-06-28,8214
2021-06-29,2021-06-29,8526
2021-06-30,2021-06-30,8055
2021-07-01,2021-07-01,7230
2021-07-02,2021-07-02,10087
2021-07-03,2021-07-03,13143
2021-07-04,2021-07-04,16883
2021-07-05,2021-07-05,11261
2021-07-06,2021-07-06,8769
2021-07-07,2021-07-07,8746
2021-07-08,2021-07-08,7088
2021-07-09,2021-07-09,8467
2021-07-10,2021-07-10,13479
2021-07-11,2021-07-11,10704
2021-07-12,2021-07-12,8658
2021-07-13,2021-07-13,9130
2021-07-14,2021-07-14,8955
2021-07-15,2021-07-15,9977
2021-07-16,2021-07-16,10389
2021-07-17,2021-07-17,11141
2021-07-18,2021-07-18,11414
2021-07-19,2021-07-19,9156
2021-07-20,2021-07-20,9540
2021-07-21,2021-07-21,9546
2021-07-22,2021-07-22,9914
2021-07-23,2021-07-23,10619
2021-07-24,2021-07-24,11617
2021-07-25,2021-07-25,9872
2021-07-26,2021-07-26,7631
2021-07-27,2021-07-27,8653
2021-07-28,2021-07-28,8979
2021-07-29,2021-07-29,8946
2021-07-30,2021-07-30,10080
2021-07-31,2021-07-31,12352
2021-08-01,2021-08-01,7177
2021-08-02,2021-08-02,9510
2021-08-03,2021-08-03,9849
2021-08-04,2021-08-04,9998
2021-08-05,2021-08-05,10164
2021-08-06,2021-08-06,10048
2021-08-07,2021-08-07,8132
2021-08-08,2021-08-08,10997
2021-08-09,2021-08-09,7820
2021-08-10,2021-08-10,6946
2021-08-11,2021-08-11,7334
2021-08-12,2021-08-12,8440
2021-08-13,2021-08-13,7060
2021-08-14,2021-08-14,10138
2021-08-15,2021-08-15,9509
2021-08-16,2021-08-16,5297
2021-08-17,2021-08-17,8062
2021-08-18,2021-08-18,8206
2021-08-19,2021-08-19,8565
2021-08-20,2021-08-20,7362
2021-08-21,2021-08-21,10342
2021-08-22,2021-08-22,9615
2021-08-23,2021-08-23,8526
2021-08-24,2021-08-24,8956
2021-08-25,2021-08-25,8585
2021-08-26,2021-08-26,8015
2021-08-27,2021-08-27,8467
2021-08-28,2021-08-28,11746
2021-08-29,2021-08-29,9589
2021-08-30,2021-08-30,8548
2021-08-31,2021-08-31,8991
2021-09-01,2021-09-01,5277
2021-09-02,2021-09-02,10969
2021-09-03,2021-09-03,11697
2021-09-04,2021-09-04,12647
2021-09-05,2021-09-05,10111
2021-09-06,2021-09-06,11273
2021-09-07,2021-09-07,9603
2021-09-08,2021-09-08,9934
2021-09-09,2021-09-09,9748
2021-09-10,2021-09-10,11667
2021-09-11,2021-09-11,13044
2021-09-12,2021-09-12,11267
2021-09-13,2021-09-13,9148
2021-09-14,2021-09-14,9877
2021-09-15,2021-09-15,10168
2021-09-16,2021-09-16,6432
2021-09-17,2021-09-17,10050
2021-09-18,2021-09-18,12586
2021-09-19,2021-09-19,11396
2021-09-20,2021-09-20,9843
2021-09-21,2021-09-21,10250
2021-09-22,2021-09-22,6132
2021-09-23,2021-09-23,8541
2021-09-24,2021-09-24,11898
2021-09-25,2021-09-25,13814
2021-09-26,2021-09-26,11579
2021-09-27,2021-09-27,9572
2021-09-28,2021-09-28,9602
2021-09-29,2021-09-29,10434
2021-09-30,2021-09-30,10638
2021-10-01,2021-10-01,11832
2021-10-02,2021-10-02,14521
2021-10-03,2021-10-03,12035
2021-10-04,2021-10-04,9126
2021-10-05,2021-10-05,9326
2021-10-06,2021-10-06,9162
2021-10-07,2021-10-07,10706
2021-10-08,2021-10-08,11189
2021-10-09,2021-10-09,13057
2021-10-10,2021-10-10,10475
2021-10-11,2021-10-11,9426
2021-10-12,2021-10-12,8845
2021-10-13,2021-10-13,10742
2021-10-14,2021-10-14,11465
2021-10-15,2021-10-15,12429
2021-10-16,2021-10-16,9758
2021-10-17,2021-10-17,10410
2021-10-18,2021-10-18,9269
2021-10-19,2021-10-19,10519
2021-10-20,2021-10-20,10744
2021-10-21,2021-10-21,11495
2021-10-22,2021-10-22,12183
2021-10-23,2021-10-23,12627
2021-10-24,2021-10-24,10824
2021-10-25,2021-10-25,7565
2021-10-26,2021-10-26,9316
2021-10-27,2021-10-27,11278
2021-10-28,2021-10-28,11171
2021-10-29,2021-10-29,3686
2021-10-30,2021-10-30,12154
2021-10-31,2021-10-31,10965
2021-11-01,2021-11-01,9378
2021-11-02,2021-11-02,6156
2021-11-03,2021-11-03,9031
2021-11-04,2021-11-04,9135
2021-11-05,2021-11-05,9660
2021-11-06,2021-11-06,11012
2021-11-07,2021-11-07,9714
2021-11-08,2021-11-08,9289
2021-11-09,2021-11-09,10540
2021-11-10,2021-11-10,11291
2021-11-11,2021-11-11,11547
2021-11-12,2021-11-12,10107
2021-11-13,2021-11-13,10258
2021-11-14,2021-11-14,7595
2021-11-15,2021-11-15,7019
2021-11-16,2021-11-16,8479
2021-11-17,2021-11-17,9505
2021-11-18,2021-11-18,9488
2021-11-19,2021-11-19,7828
2021-11-20,2021-11-20,8001
2021-11-21,2021-11-21,7071
2021-11-22,2021-11-22,6797
2021-11-23,2021-11-23,6056
2021-11-24,2021-11-24,5693
2021-11-25,2021-11-25,4263
2021-11-26,2021-11-26,3819
2021-11-27,2021-11-27,4677
2021-11-28,2021-11-28,6059
2021-11-29,2021-11-29,5746
2021-11-30,2021-11-30,6843
2021-12-01,2021-12-01,7787
2021-12-02,2021-12-02,8899
2021-12-03,2021-12-03,8507
2021-12-04,2021-12-04,10098
2021-12-05,2021-12-05,7060
2021-12-06,2021-12-06,7176
2021-12-07,2021-12-07,6562
2021-12-08,2021-12-08,6253
2021-12-09,2021-12-09,6609
2021-12-10,2021-12-10,8103
2021-12-11,2021-12-11,7880
2021-12-12,2021-12-12,6814
2021-12-13,2021-12-13,6310
2021-12-14,2021-12-14,7373
2021-12-15,2021-12-15,7125
2021-12-16,2021-12-16,8124
2021-12-17,2021-12-17,7789
2021-12-18,2021-12-18,6747
2021-12-19,2021-12-19,4770
2021-12-20,2021-12-20,4676
2021-12-21,2021-12-21,4271
2021-12-22,2021-12-22,4251
2021-12-23,2021-12-23,3660
2021-12-24,2021-12-24,3316
2021-12-25,2021-12-25,3184
2021-12-26,2021-12-26,4506
2021-12-27,2021-12-27,3122
2021-12-28,2021-12-28,4992
2021-12-29,2021-12-29,4471
2021-12-30,2021-12-30,4725
2021-12-31,2021-12-31,5687
2022-01-01,2022-01-01,3452
2022-01-02,2022-01-02,5419
2022-01-03,2022-01-03,497
2022-01-04,2022-01-04,1257
2022-01-05,2022-01-05,2265
2022-01-06,2022-01-06,3747
2022-01-07,2022-01-07,2235
2022-01-08,2022-01-08,3318
2022-01-09,2022-01-09,1764
2022-01-10,2022-01-10,3862
2022-01-11,2022-01-11,3337
2022-01-12,2022-01-12,4451
2022-01-13,2022-01-13,5002
2022-01-14,2022-01-14,5009
2022-01-15,2022-01-15,3500
2022-01-16,2022-01-16,1613
2022-01-17,2022-01-17,2583
2022-01-18,2022-01-18,4128
2022-01-19,2022-01-19,5173
2022-01-20,2022-01-20,3289
2022-01-21,2022-01-21,3659
2022-01-22,2022-01-22,4149
2022-01-23,2022-01-23,3968
2022-01-24,2022-01-24,4438
2022-01-25,2022-01-25,4976
2022-01-26,2022-01-26,4277
2022-01-27,2022-01-27,4601
2022-01-28,2022-01-28,3582
2022-01-29,2022-01-29,2721
2022-01-30,2022-01-30,3079
2022-01-31,2022-01-31,4268
2022-02-01,2022-02-01,5174
2022-02-02,2022-02-02,5807
2022-02-03,2022-02-03,3217
2022-02-04,2022-02-04,2541
2022-02-05,2022-02-05,4441
2022-02-06,2022-02-06,4206
2022-02-07,2022-02-07,4006
2022-02-08,2022-02-08,5501
2022-02-09,2022-02-09,6370
2022-02-10,2022-02-10,6736
2022-02-11,2022-02-11,7874
2022-02-12,2022-02-12,8660
2022-02-13,2022-02-13,2911
2022-02-14,2022-02-14,4083
2022-02-15,2022-02-15,5030
2022-02-16,2022-02-16,6183
2022-02-17,2022-02-17,7299
2022-02-18,2022-02-18,5460
2022-02-19,2022-02-19,5056
2022-02-20,2022-02-20,4855
2022-02-21,2022-02-21,7966
2022-02-22,2022-02-22,5139
2022-02-23,2022-02-23,8068
2022-02-24,2022-02-24,3430
2022-02-25,2022-02-25,5653
2022-02-26,2022-02-26,6306
2022-02-27,2022-02-27,6565
2022-02-28,2022-02-28,5780
2022-03-01,2022-03-01,6928
2022-03-02,2022-03-02,7888
2022-03-03,2022-03-03,7055
2022-03-04,2022-03-04,6717
2022-03-05,2022-03-05,9692
2022-03-06,2022-03-06,9340
2022-03-07,2022-03-07,6650
2022-03-08,2022-03-08,7598
2022-03-09,2022-03-09,3891
2022-03-10,2022-03-10,7577
2022-03-11,2022-03-11,9237
2022-03-12,2022-03-12,2119
2022-03-13,2022-03-13,4311
2022-03-14,2022-03-14,8007
2022-03-15,2022-03-15,10420
2022-03-16,2022-03-16,11055
2022-03-17,2022-03-17,5603
2022-03-18,2022-03-18,11445
2022-03-19,2022-03-19,14028
2022-03-20,2022-03-20,9001
2022-03-21,2022-03-21,11029
2022-03-22,2022-03-22,12742
2022-03-23,2022-03-23,5905
2022-03-24,2022-03-24,7731
2022-03-25,2022-03-25,12668
2022-03-26,2022-03-26,11523
2022-03-27,2022-03-27,5835
2022-03-28,2022-03-28,5005
2022-03-29,2022-03-29,6645
2022-03-30,2022-03-30,8616
2022-03-31,2022-03-31,7989
2022-04-01,2022-04-01,9067
2022-04-02,2022-04-02,13667
2022-04-03,2022-04-03,10300
2022-04-04,2022-04-04,8705
2022-04-05,2022-04-05,5308
2022-04-06,2022-04-06,8055
2022-04-07,2022-04-07,4486
2022-04-08,2022-04-08,10676
2022-04-09,2022-04-09,11553
2022-04-10,2022-04-10,8104
2022-04-11,2022-04-11,9464
2022-04-12,2022-04-12,11649
2022-04-13,2022-04-13,12449
2022-04-14,2022-04-14,10503
2022-04-15,2022-04-15,13327
2022-04-16,2022-04-16,14234
2022-04-17,2022-04-17,9886
2022-04-18,2022-04-18,3485
2022-04-19,2022-04-19,8181
2022-04-20,2022-04-20,10839
2022-04-21,2022-04-21,10751
2022-04-22,2022-04-22,12915
2022-04-23,2022-04-23,14902
2022-04-24,2022-04-24,13660
2022-04-25,2022-04-25,10340
2022-04-26,2022-04-26,8266
2022-04-27,2022-04-27,10251
2022-04-28,2022-04-28,9898
2022-04-29,2022-04-29,11501
2022-04-30,2022-04-30,14013
2022-05-01,2022-05-01,8387
2022-05-02,2022-05-02,11341
2022-05-03,2022-05-03,11809
2022-05-04,2022-05-04,10843
2022-05-05,2022-05-05,11243
2022-05-06,2022-05-06,4168
2022-05-07,2022-05-07,2839
2022-05-08,2022-05-08,7124
2022-05-09,2022-05-09,10297
2022-05-10,2022-05-10,11962
2022-05-11,2022-05-11,11900
2022-05-12,2022-05-12,11394
2022-05-13,2022-05-13,10394
2022-05-14,2022-05-14,12272
2022-05-15,2022-05-15,12153
2022-05-16,2022-05-16,8507
2022-05-17,2022-05-17,12728
2022-05-18,2022-05-18,12142
2022-05-19,2022-05-19,11966
2022-05-20,2022-05-20,12454
2022-05-21,2022-05-21,13028
2022-05-22,2022-05-22,9748
2022-05-23,2022-05-23,10569
2022-05-24,2022-05-24,8878
2022-05-25,2022-05-25,12048
2022-05-26,2022-05-26,11479
2022-05-27,2022-05-27,8350
2022-05-28,2022-05-28,14370
2022-05-29,2022-05-29,15100
2022-05-30,2022-05-30,12437
2022-05-31,2022-05-31,10891
2022-06-01,2022-06-01,11370
2022-06-02,2022-06-02,8502
2022-06-03,2022-06-03,13484
2022-06-04,2022-06-04,15907
2022-06-05,2022-06-05,13926
2022-06-06,2022-06-06,12408
2022-06-07,2022-06-07,9527
2022-06-08,2022-06-08,11682
2022-06-09,2022-06-09,13630
2022-06-10,2022-06-10,14761
2022-06-11,2022-06-11,13322
2022-06-12,2022-06-12,13190
2022-06-13,2022-06-13,11432
2022-06-14,2022-06-14,12794
2022-06-15,2022-06-15,13427
2022-06-16,2022-06-16,12793
2022-06-17,2022-06-17,13012
2022-06-18,2022-06-18,16757
2022-06-19,2022-06-19,15189
2022-06-20,2022-06-20,13791
2022-06-21,2022-06-21,12891
2022-06-22,2022-06-22,10140
2022-06-23,2022-06-23,10455
2022-06-24,2022-06-24,15249
2022-06-25,2022-06-25,15995
2022-06-26,2022-06-26,12576
2022-06-27,2022-06-27,11193
2022-06-28,2022-06-28,13905
2022-06-29,2022-06-29,13486
2022-06-30,2022-06-30,12862
2022-07-01,2022-07-01,12509
2022-07-02,2022-07-02,12543
2022-07-03,2022-07-03,14633
2022-07-04,2022-07-04,19531
2022-07-05,2022-07-05,11631
2022-07-06,2022-07-06,12202
2022-07-07,2022-07-07,12340
2022-07-08,2022-07-08,12954
2022-07-09,2022-07-09,7762
2022-07-10,2022-07-10,14354
2022-07-11,2022-07-11,12882
2022-07-12,2022-07-12,10206
2022-07-13,2022-07-13,14083
2022-07-14,2022-07-14,13799
2022-07-15,2022-07-15,13887
2022-07-16,2022-07-16,13718
2022-07-17,2022-07-17,13010
2022-07-18,2022-07-18,11248
2022-07-19,2022-07-19,13555
2022-07-20,2022-07-20,13528
2022-07-21,2022-07-21,11871
2022-07-22,2022-07-22,12627
2022-07-23,2022-07-23,12707
2022-07-24,2022-07-24,11028
2022-07-25,2022-07-25,9940
2022-07-26,2022-07-26,12163
2022-07-27,2022-07-27,13210
2022-07-28,2022-07-28,12465
2022-07-29,2022-07-29,11136
2022-07-30,2022-07-30,15432
2022-07-31,2022-07-31,10729
