start_station_name,casual_count,member_count
Potomac Ave & Half St SW,7259,9754
12th St & New York Ave NW,6108,9741
Connecticut & Nebraska Ave NW,6168,9652
Lynn St & 19th St North,8022,9600
14th & Upshur St NW,4576,9600
Wilson Blvd & N Quinn St,5017,9553
10th & Monroe St NE,6514,9535
Potomac Ave & 8th St SE,5765,9522
22nd St & Constitution Ave NW,17707,9446
Iwo Jima Memorial / Meade & 14th St N,12344,9383
9th St & Pennsylvania Ave NW,9604,9346
Wilson Blvd & N Oak St,5179,9219
Wilson Blvd & N Uhle St,3662,9202
Wilson Blvd & N Edgewood St,4371,9012
Maine Ave & Water St SW,6303,8991
Half & Water St SW,7693,8958
USDA / 12th & C St SW,14766,8875
Crystal Dr & 23rd St S,7287,8859
King Greenleaf Rec Center,4817,8859
1st & L St NW,3605,8813
36th & Calvert St NW / Glover Park,6820,8657
39th & Veazey St NW,3652,8644
Connecticut Ave & Tilden St NW,4553,8572
19th & K St NW,4834,8473
Langston Blvd & N Adams St,4105,8316
4th & O St SW,2616,8189
Rhode Island Ave & V St NE,5054,8123
Georgia & Missouri Ave NW,4141,7905
New Hampshire & Gallatin St NW,4746,7880
North Capitol & K St NE,3244,7868
Joyce St & 16th St S,3913,7842
10th St & L'Enfant Plaza SW,22437,7785
Hardy Rec Center,4375,7659
Stadium Armory Metro,3104,7617
American University East Campus,6325,7551
2nd & V St SW / James Creek Marina,7485,7545
15th St & New York Ave NW,6553,7441
Braddock Rd Metro South,4151,7411
Bladensburg Rd & Benning Rd NE,4664,7335
Georgia Ave & Fairmont St NW,3800,7252
Park Pl & Rock Creek Church Rd NW,3871,7222
Clarendon Blvd & N Fillmore St,5092,7206
Eads St & 15th St S,5718,7131
15th St & N Scott St,5176,6974
Rosedale Rec Center,4440,6961
Wisconsin Ave & Brandywine St NW,3630,6911
Fairfax Dr & Wilson Blvd,4401,6869
Washington Blvd & 10th St N,4535,6788
20th St & Virginia Ave NW,4484,6738
Market Square / King St & Royal St,6837,6705
